Parent #,ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6581-00,UA-6581-01,6/18/2018,13,"Morro Bay, Boat Launch",No tox sp,0,X,0,0.00,35.36,-120.85
UA-6585-00,UA-6585-01,6/18/2018,2,"Humboldt Bay, Indian Is. Ch.",No tox sp,0,X,0,0.00,40.81,-124.16
UA-6587-00,UA-6587-01,6/18/2018,5,"Drakes Bay, Chimney Rock LBS",No tox sp,0,X,0,0.00,37.99,-122.97
UA-6599-00,UA-6599-01,6/15/2018,13,San Simeon Pier,No tox sp,0,X,0,0.00,35.64,-121.19
UA-6608-00,UA-6608-01,6/21/2018,14,Santa Barbara Channel Islands,No tox sp,0,X,0,0.00,34.09,-120.05
UA-6614-00,UA-6614-01,6/18/2018,12,"Monterey, Granite Canyon",No tox sp,0,X,0,0.00,36.47,-121.93
UA-6616-00,UA-6616-01,6/15/2018,17,Bolsa Chica,No tox sp,0,X,0,0.00,33.68,-118.03
UA-6618-00,UA-6618-01,6/18/2018,13,"Port San Luis, Diablo Cove",D-Alex_Sum,0.5,R,1,0.03,35.14,-120.82
UA-6619-00,UA-6619-01,6/19/2018,13,Cayucos Pier,No tox sp,0,X,0,0.00,35.45,-120.91
UA-6623-00,UA-6623-01,6/19/2018,11,"Santa Cruz, Capitola Pier",No tox sp,0,X,0,0.00,36.97,-121.95
UA-6625-00,UA-6625-01,6/18/2018,15,"Ventura, Port Hueneme Pier",No tox sp,0,X,0,0.00,34.14,-119.2
UA-6626-00,UA-6626-01,6/18/2018,18,"La Jolla, Scripps Pier",No tox sp,0,X,0,0.00,32.87,-117.26
UA-6627-00,UA-6627-01,6/20/2018,12,"Monterey, Stillwater Cove",No tox sp,0,X,0,0.00,36.57,-121.94
UA-6628-00,UA-6628-01,6/20/2018,14,Goleta Pier,No tox sp,0,X,0,0.00,34.41,-119.83
UA-6629-00,UA-6629-01,6/17/2018,12,"CDFG Trawl Block 508, Aptos",No tox sp,0,X,0,0.00,36.89,-121.92
UA-6631-00,UA-6631-01,6/17/2018,10,Pacifica Pier,No tox sp,0,X,0,0.00,37.63,-122.5
UA-6633-00,UA-6633-01,6/20/2018,15,Ventura Pier,No tox sp,0,X,0,0.00,34.27,-119.29
