Date -Sampled-,Sample Site,Percent Composition,Density -code-,RA Index,Latitude,Longitude
6/3/2018,"Tomales Bay, Lease #M430-15",0,X,0,38.22,-122.94
6/4/2018,"Humboldt Bay, Indian Is. Ch.",0,X,0,40.81,-124.16
6/4/2018,"Morro Bay, Boat Launch",0,X,0,35.36,-120.85
6/1/2018,Bolsa Chica,0,X,0,33.68,-118.03
6/5/2018,"CDFG Trawl Block 508, Aptos",0,X,0,36.89,-121.92
6/6/2018,Santa Cruz Pier,0,X,0,36.96,-122.02
6/6/2018,"Palos Verdes, OFFSHORE",0,X,0,33.72,-118.35
6/7/2018,Ventura Pier,0,X,0,34.27,-119.29
6/6/2018,Goleta Pier,0,X,0,34.41,-119.83
6/3/2018,Pacifica Pier,0,X,0,37.63,-122.5
6/5/2018,Trinidad Pier,0,X,0,41.06,-124.15
6/6/2018,"Stillwater Cove, Sonoma",0,X,0,38.55,-123.3
6/13/2018,Santa Cruz Pier,0,X,0,36.96,-122.02
6/13/2018,Goleta Pier,0.5,R,0,34.41,-119.83
6/10/2018,"San Francisco, Presidio Pier",0,X,0,37.81,-122.47
6/10/2018,Pacifica Pier,0,X,0,37.63,-122.5
6/12/2018,Ventura Pier,0,X,0,34.27,-119.29
6/12/2018,Pismo Pier,0,X,0,35.14,-120.65
6/11/2018,San Clemente Pier,0,X,0,33.42,-117.62
6/12/2018,"San Diego Bay, U.S. Navy Pier",0,X,0,32.7,-117.24
6/10/2018,"Tomales Bay, Lease #M430-12",0,X,0,38.13,-122.87
6/11/2018,"Morro Bay, Boat Launch",0,X,0,35.36,-120.85
6/13/2018,"Point Richmond, Ferry Point",0,X,0,37.91,-122.39
6/8/2018,San Simeon Pier,0,X,0,35.64,-121.19
6/11/2018,"Humboldt Bay, Indian Is. Ch.",0,X,0,40.81,-124.16
6/14/2018,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
6/14/2018,"Morro Bay, North T-Pier",0,X,0,35.37,-120.86
6/13/2018,"San Francisco, Pier 15",0,X,0,37.8,-122.4
6/11/2018,Bolinas Lagoon,0,X,0,37.91,-122.68
6/18/2018,"Morro Bay, Boat Launch",0,X,0,35.36,-120.85
6/18/2018,"Humboldt Bay, Indian Is. Ch.",0,X,0,40.81,-124.16
6/18/2018,"Drakes Bay, Chimney Rock LBS",0,X,0,37.99,-122.97
6/15/2018,San Simeon Pier,0,X,0,35.64,-121.19
6/21/2018,Santa Barbara Channel Islands,0,X,0,34.09,-120.05
6/18/2018,"Monterey, Granite Canyon",0,X,0,36.47,-121.93
6/15/2018,Bolsa Chica,0,X,0,33.68,-118.03
6/18/2018,"Port San Luis, Diablo Cove",0.5,R,0.03,35.14,-120.82
6/19/2018,Cayucos Pier,0,X,0,35.45,-120.91
6/19/2018,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
6/18/2018,"Ventura, Port Hueneme Pier",0,X,0,34.14,-119.2
6/18/2018,"La Jolla, Scripps Pier",0,X,0,32.87,-117.26
6/20/2018,"Monterey, Stillwater Cove",0,X,0,36.57,-121.94
6/20/2018,Goleta Pier,0,X,0,34.41,-119.83
6/17/2018,"CDFG Trawl Block 508, Aptos",0,X,0,36.89,-121.92
6/17/2018,Pacifica Pier,0,X,0,37.63,-122.5
6/20/2018,Ventura Pier,0,X,0,34.27,-119.29
6/24/2018,"Tomales Bay, Lease #M430-15",0,X,0,38.22,-122.94
6/25/2018,"Humboldt Bay, Indian Is. Ch.",0,X,0,40.81,-124.16
6/22/2018,Palos Verdes Rocky Pt Offshore,0,X,0,33.77,-118.46
6/25/2018,Pacifica Pier,0,X,0,37.63,-122.5
6/26/2018,Rodeo Beach,0,X,0,37.83,-122.53
6/29/2018,Wilson Creek,0,X,0,41.6,-124.1
6/27/2018,"San Francisco, Pier 15",0,X,0,37.8,-122.4
6/28/2018,"Morro Bay, North T-Pier",0,X,0,35.37,-120.86
6/26/2018,Imperial Beach Pier,0,X,0,32.58,-117.14
6/25/2018,"La Jolla, Scripps Pier",0.5,R,0,32.87,-117.26
6/25/2018,Bolinas Lagoon,0,X,0,37.91,-122.68
6/26/2018,"Monterey Bay, Commercial Wharf",0,X,0,36.61,-121.89
6/30/2018,San Simeon Pier,0,X,0,35.64,-121.19
6/26/2018,Pismo Pier,0,X,0,35.14,-120.65
6/28/2018,Santa Cruz Pier,0,X,0,36.96,-122.02
6/29/2018,Bolsa Chica,0,X,0,33.68,-118.03
