ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6671-01,7/16/2018,4,"Bodega Harbor, USCG Dock",No tox sp,0,X,0,0.00,38.31,-123.05
UA-6700-01,7/16/2018,5,"Drakes Bay, Chimney Rock LBS",No tox sp,0,X,0,0.00,37.99,-122.97
UA-6701-01,7/16/2018,4,"Bodega Harbor, USCG Dock",No tox sp,0,X,0,0.00,38.31,-123.05
UA-6702-01,7/16/2018,2,"Humboldt Bay, Indian Is. Ch.",No tox sp,0,X,0,0.00,40.81,-124.16
UA-6705-01,7/16/2018,13,"Morro Bay, Boat Launch",No tox sp,0,X,0,0.00,35.36,-120.85
UA-6710-01,7/18/2018,11,Santa Cruz Pier,No tox sp,0,X,0,0.00,36.96,-122.02
UA-6716-01,7/16/2018,16,"Los Angeles Breakwater, AGP1",No tox sp,0,X,0,0.00,33.7,-118.25
UA-6719-01,7/20/2018,2,Trinidad Pier,No tox sp,0,X,0,0.00,41.06,-124.15
UA-6721-01,7/18/2018,15,"Ventura, Anacapa Is., East",No tox sp,0,X,0,0.00,34.02,-119.36
UA-6723-01,7/18/2018,13,San Simeon Pier,No tox sp,0,X,0,0.00,35.64,-121.19
UA-6731-01,7/15/2018,10,Pacifica Pier,No tox sp,0,X,0,0.00,37.63,-122.5
UA-6733-01,7/20/2018,16,"Point Dume, offshore",No tox sp,0,X,0,0.00,34,-118.81
UA-6742-01,7/20/2018,13,"Port San Luis, Diablo Cove",No tox sp,0,X,0,0.00,35.14,-120.82
UA-6766-01,7/21/2018,16,Palos Verdes Rocky Pt Offshore,No tox sp,0,X,0,0.00,33.77,-118.46
UA-6767-01,7/21/2018,10,Bean Hollow State Beach,No tox sp,0,X,0,0.00,37.22,-122.41
UA-6768-01,7/20/2018,10,Ano Nuevo Beach,No tox sp,0,X,0,0.00,37.11,-122.33
UA-6770-01,7/17/2018,5,Rodeo Beach,D-Alex_Sum,0.5,R,1,0.00,37.83,-122.53
UA-6771-01,7/17/2018,1,Wilson Creek,No tox sp,0,X,0,0.00,41.6,-124.1
UA-6772-01,7/16/2018,11,"Santa Cruz, Capitola Pier",No tox sp,0,X,0,0.00,36.97,-121.95
UA-6776-01,7/17/2018,12,"Monterey Bay, Commercial Wharf",No tox sp,0,X,0,0.00,36.61,-121.89
UA-6777-01,7/16/2018,8,"San Francisco, Presidio Pier",No tox sp,0,X,0,0.00,37.81,-122.47
UA-6787-01,7/20/2018,4,"Russian River, Jenner",No tox sp,0,X,0,0.00,38.45,-123.12
UA-6788-01,7/18/2018,18,Imperial Beach Pier,No tox sp,0,X,0,0.00,32.58,-117.14
UA-6789-01,7/20/2018,4,Goat Rock,No tox sp,0,X,0,0.00,38.44,-123.13
