ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6712-01,7/22/2018,5,"Tomales Bay, Lease #M430-15",D-Alex_Sum,0.2,R,1,0.00,38.22,-122.94
UA-6740-01,7/23/2018,13,"Morro Bay, Boat Launch",No tox sp,0,X,0,0.00,35.36,-120.85
UA-6779-01,7/25/2018,14,Goleta Pier,No tox sp,0,X,0,0.00,34.41,-119.83
UA-6780-01,7/25/2018,11,Santa Cruz Pier,No tox sp,0,X,0,0.00,36.96,-122.02
UA-6782-01,7/24/2018,12,"Monterey Bay, Commercial Wharf",D-Alex_Sum,0.5,R,1,0.00,36.61,-121.89
UA-6794-01,7/31/2018,18,"San Diego Bay, U.S. Navy Pier",No tox sp,0,X,0,0.00,32.7,-117.24
UA-6795-01,7/30/2018,2,"Humboldt Bay, Indian Is. Ch.",No tox sp,0,X,0,0.00,40.81,-124.16
UA-6797-01,7/26/2018,13,"Morro Bay, North T-Pier",D-Alex_Sum,0.5,R,1,0.00,35.37,-120.86
UA-6798-01,7/29/2018,1,"Pyramid Pt., Gilbert Creek",No tox sp,0,X,0,0.00,41.98,-124.21
UA-6799-01,7/25/2018,3,Point Arena Pier,No tox sp,0,X,0,0.00,38.91,-123.71
UA-6808-01,7/25/2018,18,"CDFG Trawl Block 860, MB",No tox sp,0,X,0,0.00,32.74,-117.28
UA-6810-01,7/29/2018,11,"Santa Cruz, Capitola Pier",No tox sp,0,X,0,0.00,36.97,-121.95
UA-6816-01,7/30/2018,5,Bolinas Lagoon,D-Alex_Sum,1,P,2,0.03,37.91,-122.68
UA-6817-01,7/25/2018,8,"San Francisco, Pier 15",D-Alex_Sum,0.5,R,1,0.00,37.8,-122.4
UA-6823-01,7/29/2018,13,Cayucos Pier,No tox sp,0,X,0,0.00,35.45,-120.91
UA-6825-01,7/29/2018,10,Pacifica Pier,D-Alex_Sum,4,P,2,0.01,37.63,-122.5
UA-6828-01,7/31/2018,13,San Simeon Pier,No tox sp,0,X,0,0.00,35.64,-121.19
UA-6829-01,7/30/2018,18,"La Jolla, Scripps Pier",No tox sp,0,X,0,0.00,32.87,-117.26
