Date -Sampled-,Sample Site,Percent Composition,Density -code-,RA Index,Latitude,Longitude
7/1/2018,Trinidad Pier,0,X,0,41.06,-124.15
7/2/2018,"La Jolla, Scripps Pier",0,X,0,32.87,-117.26
7/5/2018,Goat Rock,0,X,0,38.44,-123.13
7/5/2018,Goleta Pier,0,X,0,34.41,-119.83
7/2/2018,Pacifica Pier,0,X,0,37.63,-122.5
7/2/2018,"Russian River, Jenner",0,X,0,38.45,-123.12
7/1/2018,"Tomales Bay, Lease #M430-15",0,X,0,38.22,-122.94
7/2/2018,"Morro Bay, Boat Launch",0,X,0,35.36,-120.85
7/2/2018,Pillar Point Harbor,0,X,0,37.5,-122.49
7/2/2018,Bean Hollow State Beach,0,X,0,37.22,-122.41
7/2/2018,"Humboldt Bay, Indian Is. Ch.",0,X,0,40.81,-124.16
7/5/2018,"Drakes Bay, Chimney Rock LBS",0,X,0,37.99,-122.97
7/2/2018,"Bodega Harbor, USCG Dock",0,X,0,38.31,-123.05
7/3/2018,San Simeon Pier,0,X,0,35.64,-121.19
7/3/2018,Point Arena Pier,0,X,0,38.91,-123.71
7/6/2018,"GFNMS, Marin Line 4E",0,X,0,37.89,-123.09
7/3/2018,"Santa Cruz, Seacliff Pier",0,X,0,36.97,-121.91
7/3/2018,"Port San Luis, Diablo Cove",0,X,0,35.14,-120.82
7/7/2018,"GFNMS, Marin Line 2E",0,X,0,38.06,-122.99
7/6/2018,"GFNMS, Marin Line N4-WN",0,X,0,37.9,-122.87
7/4/2018,"GFNMS, San Mateo Line 10W",0,X,0,37.35,-122.94
7/5/2018,"GFNMS, San Francisco Line 6W",0,X,0,37.69,-123.18
7/6/2018,"GFNMS, Marin Line 4W",0,X,0,37.88,-123.47
7/7/2018,"GFNMS, Marin Line N2WN",0,X,0,38.06,-123.13
7/4/2018,"GFNMS, San Mateo Line 10E",0,X,0,37.36,-122.46
7/5/2018,"GFNMS, San Francisco Line 6E",0,X,0,37.69,-122.51
7/8/2018,Cayucos Pier,0.5,R,0,35.45,-120.91
7/9/2018,Bolinas Lagoon,0,X,0,37.91,-122.68
7/11/2018,San Simeon Pier,0,X,0,35.64,-121.19
7/9/2018,"Humboldt Bay, Indian Is. Ch.",0,X,0,40.81,-124.16
7/8/2018,"Tomales Bay, Lease #M430-15",0,X,0,38.22,-122.94
7/8/2018,"Tomales Bay, WQ Station #12",0,X,0,38.16,-122.9
7/8/2018,"Tomales Bay, Lease #M430-12",0,X,0,38.13,-122.87
7/12/2018,"CDFG Trawl Block 687, SC-SR Is",0,X,0,34.03,-119.97
7/13/2018,Palos Verdes Rocky Pt Offshore,0,X,0,33.77,-118.46
7/10/2018,Pismo Pier,0,X,0,35.14,-120.65
7/13/2018,Santa Cruz Island Offshore,0,X,0,34.16,-119.67
7/10/2018,Imperial Beach Pier,0,X,0,32.58,-117.14
7/11/2018,"San Francisco, Pier 15",0,X,0,37.8,-122.4
7/8/2018,"GFNMS, Marin Line N11-WN",0,X,0,38.22,-123.14
7/9/2018,"GFNMS, Sonoma Line 13W",0,X,0,38.36,-123.71
7/8/2018,"GFNMS, Marin Line 11W",0,X,0,38.21,-123.59
7/12/2018,"Russian River, Jenner",0,X,0,38.45,-123.12
7/8/2018,"GFNMS, Marin Line 11E",0,X,0,38.22,-123.18
7/9/2018,"GFNMS, Sonoma Line N13-WN",0,X,0,38.37,-123.23
7/9/2018,"GFNMS, Sonoma Line 13E",0,X,0,38.38,-123.08
7/8/2018,Pacifica Pier,0,X,0,37.63,-122.5
7/11/2018,Santa Cruz Pier,0,X,0,36.96,-122.02
7/16/2018,"Bodega Harbor, USCG Dock",0,X,0,38.31,-123.05
7/16/2018,"Drakes Bay, Chimney Rock LBS",0,X,0,37.99,-122.97
7/16/2018,"Bodega Harbor, USCG Dock",0,X,0,38.31,-123.05
7/16/2018,"Humboldt Bay, Indian Is. Ch.",0,X,0,40.81,-124.16
7/16/2018,"Morro Bay, Boat Launch",0,X,0,35.36,-120.85
7/18/2018,Santa Cruz Pier,0,X,0,36.96,-122.02
7/16/2018,"Los Angeles Breakwater, AGP1",0,X,0,33.7,-118.25
7/20/2018,Trinidad Pier,0,X,0,41.06,-124.15
7/18/2018,"Ventura, Anacapa Is., East",0,X,0,34.02,-119.36
7/18/2018,San Simeon Pier,0,X,0,35.64,-121.19
7/15/2018,Pacifica Pier,0,X,0,37.63,-122.5
7/20/2018,"Point Dume, offshore",0,X,0,34,-118.81
7/20/2018,"Port San Luis, Diablo Cove",0,X,0,35.14,-120.82
7/21/2018,Palos Verdes Rocky Pt Offshore,0,X,0,33.77,-118.46
7/21/2018,Bean Hollow State Beach,0,X,0,37.22,-122.41
7/20/2018,Ano Nuevo Beach,0,X,0,37.11,-122.33
7/17/2018,Rodeo Beach,0.5,R,0,37.83,-122.53
7/17/2018,Wilson Creek,0,X,0,41.6,-124.1
7/16/2018,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
7/17/2018,"Monterey Bay, Commercial Wharf",0,X,0,36.61,-121.89
7/16/2018,"San Francisco, Presidio Pier",0,X,0,37.81,-122.47
7/20/2018,"Russian River, Jenner",0,X,0,38.45,-123.12
7/18/2018,Imperial Beach Pier,0,X,0,32.58,-117.14
7/20/2018,Goat Rock,0,X,0,38.44,-123.13
