Date -Sampled-,Sample Site,Percent Composition,Density -code-,RA Index,Latitude,Longitude
6/3/2018,"Tomales Bay, Lease #M430-15",2,P,0.2,38.22,-122.94
6/4/2018,"Humboldt Bay, Indian Is. Ch.",0.5,R,0.02,40.81,-124.16
6/4/2018,"Bodega Harbor, USCG Dock",0,X,0,38.31,-123.05
6/4/2018,"Morro Bay, Boat Launch",1,P,0.01,35.36,-120.85
6/1/2018,Bolsa Chica,6,P,0,33.68,-118.03
6/4/2018,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
6/5/2018,"CDFG Trawl Block 508, Aptos",3,P,0.03,36.89,-121.92
6/4/2018,Bolinas Lagoon,0,X,0,37.91,-122.68
6/5/2018,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
6/6/2018,Santa Cruz Pier,2,P,0,36.96,-122.02
6/7/2018,Bean Hollow State Beach,0,X,0,37.22,-122.41
6/7/2018,Pillar Point Harbor,0,X,0,37.5,-122.49
6/6/2018,"Palos Verdes, OFFSHORE",2,P,0.02,33.72,-118.35
6/7/2018,Ventura Pier,5,P,0.01,34.27,-119.29
6/6/2018,Goleta Pier,1,P,0.01,34.41,-119.83
6/5/2018,Imperial Beach Pier,0,X,0,32.58,-117.14
6/3/2018,Pacifica Pier,8,P,0.11,37.63,-122.5
6/5/2018,Trinidad Pier,0.5,R,0.01,41.06,-124.15
6/6/2018,"Stillwater Cove, Sonoma",0.5,R,0,38.55,-123.3
6/10/2018,"Tomales Bay, WQ Station #12",0,X,0,38.16,-122.9
6/13/2018,Santa Cruz Pier,0.5,R,0,36.96,-122.02
6/13/2018,Goleta Pier,0,X,0,34.41,-119.83
6/10/2018,"San Francisco, Presidio Pier",0.5,R,0,37.81,-122.47
6/10/2018,Pacifica Pier,0.5,R,0.01,37.63,-122.5
6/12/2018,Ventura Pier,0.5,R,0,34.27,-119.29
6/12/2018,Pismo Pier,7,P,0.21,35.14,-120.65
6/11/2018,San Clemente Pier,0.5,R,0.01,33.42,-117.62
6/12/2018,"San Diego Bay, U.S. Navy Pier",0.5,R,0,32.7,-117.24
6/12/2018,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
6/10/2018,"Tomales Bay, Lease #M430-12",0.2,R,0.01,38.13,-122.87
6/10/2018,"Tomales Bay, Lease #M430-15",0,X,0,38.22,-122.94
6/11/2018,"Morro Bay, Boat Launch",0.5,R,0.01,35.36,-120.85
6/13/2018,"Point Richmond, Ferry Point",4,P,0.03,37.91,-122.39
6/8/2018,San Simeon Pier,1,P,0.03,35.64,-121.19
6/11/2018,"Humboldt Bay, Indian Is. Ch.",0.2,R,0.09,40.81,-124.16
6/13/2018,"Monterey, Stillwater Cove",0,X,0,36.57,-121.94
6/14/2018,"Santa Cruz, Capitola Pier",0.5,R,0.01,36.97,-121.95
6/14/2018,"Morro Bay, North T-Pier",8,P,0.03,35.37,-120.86
6/13/2018,"San Francisco, Pier 15",0.2,R,0,37.8,-122.4
6/11/2018,Bolinas Lagoon,0.5,R,0,37.91,-122.68
6/18/2018,"Morro Bay, Boat Launch",5,P,0.09,35.36,-120.85
6/18/2018,"Humboldt Bay, Indian Is. Ch.",2,P,0,40.81,-124.16
6/18/2018,"Bodega Harbor, USCG Dock",0,X,0,38.31,-123.05
6/18/2018,"Drakes Bay, Chimney Rock LBS",0.5,R,0.06,37.99,-122.97
6/17/2018,"Tomales Bay, Lease #M430-15",0,X,0,38.22,-122.94
6/15/2018,San Simeon Pier,15,C,0.57,35.64,-121.19
6/21/2018,Santa Barbara Island,0,X,0,33.53,-119.14
6/19/2018,Bean Hollow State Beach,0,X,0,37.22,-122.41
6/19/2018,Pillar Point,0,X,0,37.5,-122.5
6/21/2018,Santa Barbara Channel Islands,0.5,R,0,34.09,-120.05
6/15/2018,Point Arena Pier,0,X,0,38.91,-123.71
6/20/2018,Santa Cruz Pier,0,X,0,36.96,-122.02
6/20/2018,Imperial Beach Pier,0,X,0,32.58,-117.14
6/18/2018,"Monterey, Granite Canyon",2,P,0.08,36.47,-121.93
6/19/2018,Bolinas Lagoon,0,X,0,37.91,-122.68
6/15/2018,Bolsa Chica,2,P,0,33.68,-118.03
6/19/2018,"Newport Bay, Back Bay",0,X,0,33.62,-117.89
6/18/2018,"Port San Luis, Diablo Cove",20,C,1.33,35.14,-120.82
6/19/2018,Cayucos Pier,2,P,0.01,35.45,-120.91
6/19/2018,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
