ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6663-01,7/15/2018,5,"Tomales Bay, Lease #M430-15",No tox sp,0,X,0,0.00,38.22,-122.94
UA-6671-01,7/16/2018,4,"Bodega Harbor, USCG Dock",B-Pseu_Sum,0.5,R,1,0.01,38.31,-123.05
UA-6700-01,7/16/2018,5,"Drakes Bay, Chimney Rock LBS",B-Pseu_Sum,0.5,R,1,0.67,37.99,-122.97
UA-6702-01,7/16/2018,2,"Humboldt Bay, Indian Is. Ch.",B-Pseu_Sum,0.5,R,1,0.01,40.81,-124.16
UA-6703-01,7/16/2018,15,"Ventura, Port Hueneme Pier",No tox sp,0,X,0,0.00,34.14,-119.2
UA-6705-01,7/16/2018,13,"Morro Bay, Boat Launch",B-Pseu_Sum,0.5,R,1,0.01,35.36,-120.85
UA-6709-01,7/18/2018,15,Ventura Pier,No tox sp,0,X,0,0.00,34.27,-119.29
UA-6710-01,7/18/2018,11,Santa Cruz Pier,B-Pseu_Sum,80,A,4,1.60,36.96,-122.02
UA-6711-01,7/17/2018,18,Agua Hedionda Lagoon,No tox sp,0,X,0,0.00,33.14,-117.34
UA-6716-01,7/16/2018,16,"Los Angeles Breakwater, AGP1",B-Pseu_Sum,12,C,3,0.20,33.7,-118.25
UA-6718-01,7/17/2018,12,"Monterey, Stillwater Cove",No tox sp,0,X,0,0.00,36.57,-121.94
UA-6719-01,7/20/2018,2,Trinidad Pier,B-Pseu_Sum,20.5,C,3,0.12,41.06,-124.15
UA-6721-01,7/18/2018,15,"Ventura, Anacapa Is., East",B-Pseu_Sum,0.5,R,1,0.00,34.02,-119.36
UA-6722-01,7/18/2018,14,Goleta Pier,No tox sp,0,X,0,0.00,34.41,-119.83
UA-6723-01,7/18/2018,13,San Simeon Pier,B-Pseu_Sum,1,P,2,0.00,35.64,-121.19
UA-6731-01,7/15/2018,10,Pacifica Pier,B-Pseu_Sum,1,P,2,0.02,37.63,-122.5
UA-6733-01,7/20/2018,16,"Point Dume, offshore",B-Pseu_Sum,0.5,R,1,0.00,34,-118.81
UA-6742-01,7/20/2018,13,"Port San Luis, Diablo Cove",B-Pseu_Sum,0.5,R,1,0.03,35.14,-120.82
UA-6766-01,7/21/2018,16,Palos Verdes Rocky Pt Offshore,B-Pseu_Sum,2,P,2,0.00,33.77,-118.46
UA-6767-01,7/21/2018,10,Bean Hollow State Beach,B-Pseu_Sum,0.5,R,1,0.01,37.22,-122.41
UA-6768-01,7/20/2018,10,Ano Nuevo Beach,B-Pseu_Sum,6,P,2,0.06,37.11,-122.33
UA-6770-01,7/17/2018,5,Rodeo Beach,No tox sp,0,X,0,0.00,37.83,-122.53
UA-6771-01,7/17/2018,1,Wilson Creek,B-Pseu_Sum,10,C,3,0.05,41.6,-124.1
UA-6772-01,7/16/2018,11,"Santa Cruz, Capitola Pier",B-Pseu_Sum,30.5,C,3,0.06,36.97,-121.95
UA-6774-01,7/16/2018,5,Bolinas Lagoon,No tox sp,0,X,0,0.00,37.91,-122.68
UA-6775-01,7/19/2018,18,"San Diego Bay, U.S. Navy Pier",No tox sp,0,X,0,0.00,32.7,-117.24
UA-6776-01,7/17/2018,12,"Monterey Bay, Commercial Wharf",B-Pseu_Sum,8,P,2,0.01,36.61,-121.89
UA-6777-01,7/16/2018,8,"San Francisco, Presidio Pier",B-Pseu_Sum,5,P,2,0.02,37.81,-122.47
UA-6787-01,7/20/2018,4,"Russian River, Jenner",B-Pseu_Sum,0.5,R,1,0.01,38.45,-123.12
UA-6788-01,7/18/2018,18,Imperial Beach Pier,B-Pseu_Sum,0.5,R,1,0.00,32.58,-117.14
UA-6789-01,7/20/2018,4,Goat Rock,B-Pseu_Sum,4,P,2,0.20,38.44,-123.13
UA-6790-01,7/16/2018,18,"La Jolla, Scripps Pier",No tox sp,0,X,0,0.00,32.87,-117.26
