Sample_Site,Latitude,Longitude,percent_composition_max
Agua Hedionda Lagoon,33.14,-117.34,0
Bolsa Chica,33.68,-118.03,0
Cabrillo Beach Pier,33.71,-118.28,0
Coyote Point Boat Launch,37.59,-122.32,0
Ellwood Pier,34.43,-119.92,0
"GFNMS, SLO Line 16M",35.79,-122.66,0
Leo Carrillo State Beach,34.03,-118.92,0
Los Angeles Harbor,33.71,-118.27,0
Malibu Pier,34.03,-118.67,0
"Monterey, Stillwater Cove",36.57,-121.94,0
"Newport Bay, Back Bay",33.62,-117.89,0
"Palos Verdes, OFFSHORE",33.72,-118.35,0
Rodeo Beach,37.83,-122.53,0
San Clemente Pier,33.42,-117.62,0
"San Francisco Bay, Golden Gate",37.82,-122.48,0
Santa Rosa Island,34.06,-120.1,0
Ventura Pier,34.27,-119.29,0
"Ventura, Port Hueneme Pier",34.14,-119.2,0
"Bodega Harbor, USCG Dock",38.31,-123.05,0.5
"GFNMS, Marin Line N11-WN",38.22,-123.14,0.5
"GFNMS, Sonoma Line N13-WN",38.37,-123.23,0.5
Imperial Beach Pier,32.58,-117.14,0.5
"Morro Bay, North T-Pier",35.37,-120.86,0.5
"Point Dume, offshore",34,-118.81,0.5
"San Francisco, Pier 15",37.8,-122.4,0.5
"Santa Cruz, Seacliff Pier",36.97,-121.91,0.5
"Ventura, Anacapa Is., East",34.02,-119.36,0.5
Bolinas Lagoon,37.91,-122.68,1
"Drakes Bay, Chimney Rock LBS",37.99,-122.97,1
"GFNMS, Marin Line 11E",38.22,-123.18,1
"GFNMS, San Francisco Line 6E",37.69,-122.51,1
Goleta Pier,34.41,-119.83,1
"Russian River, Jenner",38.45,-123.12,1
"Tomales Bay, Lease #M430-15",38.22,-122.94,1
Cayucos Pier,35.45,-120.91,2
"CDFG Trawl Block 687, SC-SR Is",34.03,-119.97,2
"CDFG Trawl Block 860, MB",32.74,-117.28,2
"Morro Bay, Boat Launch",35.36,-120.85,2
Palos Verdes Rocky Pt Offshore,33.77,-118.46,2
Pillar Point Harbor,37.5,-122.49,2
Pismo Pier,35.14,-120.65,2
"Port San Luis, Diablo Cove",35.14,-120.82,2
"San Diego Bay, U.S. Navy Pier",32.7,-117.24,2
Santa Cruz Island Offshore,34.16,-119.67,2
"Humboldt Bay, Indian Is. Ch.",40.81,-124.16,3
Point Arena Pier,38.91,-123.71,3
"Tomales Bay, WQ Station #12",38.16,-122.9,3
Bean Hollow State Beach,37.22,-122.41,4
"GFNMS, Marin Line 4E",37.89,-123.09,4
"GFNMS, San Mateo Line 10E",37.36,-122.46,4
"GFNMS, San Mateo Line 10W",37.35,-122.94,4
Goat Rock,38.44,-123.13,4
"La Jolla, Scripps Pier",32.87,-117.26,4
"GFNMS, Sonoma Line 13E",38.38,-123.08,5
"San Francisco, Presidio Pier",37.81,-122.47,5
Ano Nuevo Beach,37.11,-122.33,6
"GFNMS, Marin Line 2E",38.06,-122.99,8
"GFNMS, Marin Line N4-WN",37.9,-122.87,8
"Monterey Bay, Commercial Wharf",36.61,-121.89,8
"GFNMS, Marin Line N2WN",38.06,-123.13,9
"GFNMS, Sonoma Line 13W",38.36,-123.71,10
"Pyramid Pt., Gilbert Creek",41.98,-124.21,10
Wilson Creek,41.6,-124.1,10
"GFNMS, Marin Line 11W",38.21,-123.59,12
"GFNMS, San Francisco Line 6W",37.69,-123.18,12
"Los Angeles Breakwater, AGP1",33.7,-118.25,12
"GFNMS, Marin Line 4W",37.88,-123.47,15
"Tomales Bay, Lease #M430-12",38.13,-122.87,15
Pacifica Pier,37.63,-122.5,20
Trinidad Pier,41.06,-124.15,20.5
"Santa Cruz, Capitola Pier",36.97,-121.95,30.5
San Simeon Pier,35.64,-121.19,69
Santa Cruz Pier,36.96,-122.02,80
