ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6644-01,7/9/2018,13,"Morro Bay, Boat Launch",No tox sp,0,X,0,0.00,35.36,-120.85
UA-6666-01,7/8/2018,13,Cayucos Pier,B-Pseu_Sum,0.5,R,1,0.00,35.45,-120.91
UA-6667-01,7/9/2018,5,Bolinas Lagoon,B-Pseu_Sum,1,P,2,0.00,37.91,-122.68
UA-6670-01,7/11/2018,13,San Simeon Pier,B-Pseu_Sum,1,P,2,0.00,35.64,-121.19
UA-6680-01,7/9/2018,2,"Humboldt Bay, Indian Is. Ch.",B-Pseu_Sum,0.5,R,1,0.01,40.81,-124.16
UA-6695-01,7/8/2018,5,"Tomales Bay, Lease #M430-15",B-Pseu_Sum,1,P,2,0.04,38.22,-122.94
UA-6696-01,7/8/2018,5,"Tomales Bay, WQ Station #12",B-Pseu_Sum,3,P,2,0.03,38.16,-122.9
UA-6697-01,7/8/2018,5,"Tomales Bay, Lease #M430-12",B-Pseu_Sum,15,C,3,0.30,38.13,-122.87
UA-6698-01,7/10/2018,18,Agua Hedionda Lagoon,No tox sp,0,X,0,0.00,33.14,-117.34
UA-6699-01,7/9/2018,18,"San Diego Bay, U.S. Navy Pier",No tox sp,0,X,0,0.00,32.7,-117.24
UA-6704-01,7/12/2018,14,"CDFG Trawl Block 687, SC-SR Is",B-Pseu_Sum,2,P,2,,34.03,-119.97
UA-6706-01,7/13/2018,16,Palos Verdes Rocky Pt Offshore,B-Pseu_Sum,2,P,2,0.00,33.77,-118.46
UA-6707-01,7/14/2018,16,"Point Dume, offshore",No tox sp,0,X,0,0.00,34,-118.81
UA-6715-01,7/10/2018,16,Malibu Pier,No tox sp,0,X,0,0.00,34.03,-118.67
UA-6725-01,7/10/2018,13,Pismo Pier,B-Pseu_Sum,2,P,2,0.02,35.14,-120.65
UA-6726-01,7/10/2018,11,"Santa Cruz, Capitola Pier",No tox sp,0,X,0,0.00,36.97,-121.95
UA-6727-01,7/9/2018,18,"La Jolla, Scripps Pier",No tox sp,0,X,0,0.00,32.87,-117.26
UA-6728-01,7/13/2018,17,Bolsa Chica,No tox sp,0,X,0,0.00,33.68,-118.03
UA-6729-01,7/13/2018,16,Cabrillo Beach Pier,No tox sp,0,X,0,0.00,33.71,-118.28
UA-6734-01,7/11/2018,14,Goleta Pier,No tox sp,0,X,0,0.00,34.41,-119.83
UA-6735-01,7/11/2018,14,Santa Rosa Island,No tox sp,0,X,0,0.00,34.06,-120.1
UA-6736-01,7/13/2018,14,Santa Cruz Island Offshore,B-Pseu_Sum,2,P,2,0.00,34.16,-119.67
UA-6738-01,7/10/2018,18,Imperial Beach Pier,B-Pseu_Sum,0.5,R,1,0.00,32.58,-117.14
UA-6739-01,7/11/2018,8,"San Francisco, Pier 15",B-Pseu_Sum,0.5,R,1,0.00,37.8,-122.4
UA-6741-01,7/14/2018,16,Los Angeles Harbor,No tox sp,0,X,0,0.00,33.71,-118.27
UA-6751-01,7/8/2018,5,"GFNMS, Marin Line N11-WN",B-Pseu_Sum,0.5,R,1,0.00,38.22,-123.14
UA-6752-01,7/9/2018,4,"GFNMS, Sonoma Line 13W",B-Pseu_Sum,10,C,3,0.06,38.36,-123.71
UA-6753-01,7/8/2018,5,"GFNMS, Marin Line 11W",B-Pseu_Sum,12,C,3,0.13,38.21,-123.59
UA-6754-01,7/9/2018,17,San Clemente Pier,No tox sp,0,X,0,0.00,33.42,-117.62
UA-6756-01,7/12/2018,4,"Russian River, Jenner",B-Pseu_Sum,0.5,R,1,0.07,38.45,-123.12
UA-6757-01,7/8/2018,5,"GFNMS, Marin Line 11E",B-Pseu_Sum,1,P,2,0.02,38.22,-123.18
UA-6758-01,7/9/2018,4,"GFNMS, Sonoma Line N13-WN",B-Pseu_Sum,0.5,R,1,0.00,38.37,-123.23
UA-6759-01,7/9/2018,4,"GFNMS, Sonoma Line 13E",B-Pseu_Sum,5,P,2,0.00,38.38,-123.08
UA-6760-01,7/11/2018,12,"Monterey, Stillwater Cove",No tox sp,0,X,0,0.00,36.57,-121.94
UA-6761-01,7/8/2018,10,Pacifica Pier,B-Pseu_Sum,1,P,2,0.00,37.63,-122.5
UA-6762-01,7/12/2018,15,Ventura Pier,No tox sp,0,X,0,0.00,34.27,-119.29
UA-6763-01,7/11/2018,11,Santa Cruz Pier,B-Pseu_Sum,10,C,3,0.00,36.96,-122.02
UA-6764-01,7/12/2018,13,"Morro Bay, North T-Pier",No tox sp,0,X,0,0.00,35.37,-120.86
