Animal_Name,Common_Name,Age_Class,Sex,Occurrence,Strand_Date,Strand_Date_Month,County,City,Locality,Locality_Details,Latitude,Longitude,Admit_Date,Status,Status_2,Disposition_Date,COD_List_Side,Diagnosis_List _Side
Shuyu,California Sea Lion,Adult,Male,1,8/8/18,8,Mendocino,Fort Bragg,Ward Ave (MacKerricher State Park),at water's edge at foot of Ward Avenue ramp. North from parking area on old logging road 100-200 yards. ,39.5002,-123.79,8/9/18,Died,Euthanasia,8/12/18,,
Fisherman,California Sea Lion,Adult,Female,1,8/3/18,8,San Luis Obispo,Avila Beach,Fishermans Beach,Large CSL acting disoriented on beach.,35.1743,-120.7553,8/3/18,Died,Euthanasia,8/9/18,"euthanasia, osteomyelitis, domoic acid toxicity, ","osteomyelitis, domoic acid toxicity, malnutrition, "
Chuva,California Sea Lion,Adult,Female,2,8/2/18,8,Santa Cruz,Santa Cruz,Santa Cruz Wharf,beach next to pier on boardwalk side. ,36.9576,-122.0175,8/2/18,Died,Euthanasia,8/4/18,"euthanasia, domoic acid toxicity, ","domoic acid toxicity, "
Leadbelly,California Sea Lion,Adult,Female,2,8/2/18,8,Marin,Stinson Beach,Stinson Beach - Walla Vista to Calle del Embarcadero,"Near Joaquin Street, Closest access is Francisco Patio Sead drift- north end of Beach-
with public path to beach. 
At the ends of the beach near Bolinas, where the lagoon meets the ocean.",37.9015,-122.6505,8/3/18,On-Site,,,,
Firstcall,California Sea Lion,Adult,Female,1,8/2/18,8,San Luis Obispo,Oceano,Oceano Dunes,,35.1137,-120.6339,8/2/18,On-Site,,,,"trauma, unknown, domoic acid toxicity, "
Sandyray,California Sea Lion,Subadult,Male,1,7/29/18,7,Monterey,Pacific Grove,Asilomar State Beach (Arena Ave),Tide pools,36.6269,-121.939,7/29/18,On-Site,,,,"leptospirosis, domoic acid toxicity, "
Fizzy,California Sea Lion,Juvenile,Male,1,7/25/18,7,San Mateo,Princeton-by-the-Sea,Pillar Point Harbor (Romeo Packing Pier),,37.502158,-122.490596,7/25/18,On-Site,,,,"domoic acid toxicity, leptospirosis, abscess, "
Dogdayze,California Sea Lion,Subadult,Female,1,7/20/18,7,San Luis Obispo,Avila Beach,Dog Beach (Olde Port Beach),may be one of the other SLO animals,35.1779,-120.7416,7/21/18,Died,Died in Treatment,7/23/18,"septicemia, nephropathy, ",
Cecelia,California Sea Lion,Adult,Female,1,7/19/18,7,San Luis Obispo,Los Osos,Spooners Cove (Montana de Oro State Park),in the alcove. 1/2 a pking lot's length up the beach from the water,35.2778,-120.8898,7/19/18,Died,Died in Treatment,7/19/18,"domoic acid toxicity, ",
Avocet,California Sea Lion,Juvenile,Male,1,7/13/18,7,Monterey,Moss Landing,Moss Landing State Beach (Middle Jetty Road),,36.8107,-121.7904,7/13/18,Died,Died in Treatment,7/13/18,"euthanasia, domoic acid toxicity, pneumonia, ",
Baro,California Sea Lion,Adult,Female,1,7/11/18,7,Monterey,,Salinas River State Beach (Salinas River),NOTIFY PALKOVIC IF A RESCUE HAPPENS,36.75,-121.805,7/11/18,Died,Died in Treatment,7/12/18,"domoic acid toxicity, ",
Jacksand,California Sea Lion,Subadult,Male,1,7/10/18,7,San Luis Obispo,Pismo Beach,Pismo State Beach Pier,North of pier near Lifeguard stand,35.1394,-120.6448,7/10/18,Died,Died in Treatment,7/10/18,"domoic acid toxicity, ",
Sizenine,California Sea Lion,Adult,Female,1,7/7/18,7,San Luis Obispo,Morro Bay,Morro Bay Sandspit - South Jetty,"northern end of sand spit, just south (~300ft) of the jetty.  This may be same as *2348",35.359317,-120.862014,7/7/18,Died,Euthanasia,7/14/18,"euthanasia, domoic acid toxicity, ","domoic acid toxicity, "
Sparkler,California Sea Lion,Adult,Female,1,7/4/18,7,San Luis Obispo,Morro Bay,Morro Bay Sand Spit - South (Montana de Oro State Park),,35.306944,-120.874167,7/4/18,Died,Euthanasia,7/23/18,"euthanasia, domoic acid toxicity, ","domoic acid toxicity, "
Baron,California Sea Lion,Adult,Female,1,7/3/18,7,San Luis Obispo,Avila Beach,Avila Beach,Dog Beach very far left (when looking at water) against the rocks on the sand near 2 SO carcasses,35.1771,-120.7291,7/3/18,Died,Euthanasia,7/4/18,"euthanasia, carcinoma, ",
Innertube,California Sea Lion,Adult,Female,1,7/2/18,7,San Luis Obispo,Oceano,Oceano Dunes Entrance Station (Grand Ave),,35.123696,-120.636178,7/2/18,Died,Euthanasia,7/4/18,"euthanasia, domoic acid toxicity, ",
Swimsuit,California Sea Lion,Adult,Female,1,7/2/18,7,San Luis Obispo,Pismo Beach,Pismo State Beach (Cottage Inn By the Sea),"Animal is under the bridge between 2 hotels - SeaCrest OceanFront Hotel & Cottage Inn By the Sea.
Just north of stairs from SeaCrest.",35.147391,-120.650218,7/2/18,Released,,7/17/18,,"domoic acid toxicity, "
Dowop,California Sea Lion,Adult,Female,1,7/1/18,7,San Luis Obispo,Morro Bay,Morro Bay Harbor,"south of morro rock, near harbor",35.3678,-120.864,7/1/18,Died,Euthanasia,7/1/18,"euthanasia, domoic acid toxicity, ",
Cloister,California Sea Lion,Adult,Female,1,7/1/18,7,San Luis Obispo,Morro Bay,Morro Strand State Beach (South) - Cloisters,"About 500 yards up beach from tide line; between Hatteras St and ""Cloisters""",35.3874,-120.8662,7/1/18,Released,,7/18/18,,"domoic acid toxicity, abscess, "
Lost,California Sea Lion,Adult,Female,1,6/30/18,6,San Luis Obispo,Morro Bay,Morro Strand State Beach (South) - Morro Dunes RV Park,"on the beach, near high school.  Approximately a half mile north of life guard tower 2.",35.377905,-120.864476,6/30/18,Released,,7/20/18,,"domoic acid toxicity, keratopathy, "
Megladon,California Sea Lion,Adult,Female,1,6/29/18,6,San Luis Obispo,Morro Bay,Morro Strand State Beach,"N of rock city property and barricade
Atascadero Road = best access point
several 100 yds N of Morro Rock; N of 3rd lifeguard tower by several hundred yards
S part of state park/beach area
may be same as *2230 but seem to be farther North than *2230",35.4008,-120.8695,6/29/18,Died,Died in Treatment,6/29/18,"domoic acid toxicity, ",
