Animal_Name,Common_Name,Age_Class,Sex,Occurrence,Strand_Date,County,City,Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Status,Status_2,Disposition_Date,COD_List_Side,Diagnosis_List_Side
Sebastian,California Sea Lion,Juvenile,Male,1,12/29/90,San Mateo,Brisbane,Brisbane Marina,,37.4021,-122.2255,12/29/90,released,,2/10/91,,pneumonia
Jasper,California Sea Lion,Yearling,Female,1,1/17/91,Santa Cruz,Capitola,Pot Belly Beach,,36.964,-121.929,1/17/91,euthanasia,,4/30/91,"Euthanasia, domoic acid (suspect)","domoic acid (suspect), pneumonia, lungworms"
L.M.,California Sea Lion,Subadult,Male,1,1/30/91,Santa Cruz,Santa Cruz,Westcliff Drive & Almar,,36.945,-122.037,1/31/91,released,,3/31/91,,Domic acid (suspect)
Roxy,California Sea Lion,Subadult,Male,1,2/2/91,Santa Cruz,Santa Cruz,Seabright Beach,,36.954,-122.008,2/2/91,released,,8/10/91,,"domoic acid (suspect), roundworms, pneumonia"
Patriot,California Sea Lion,Juvenile,Male,1,3/1/91,San Mateo,El Granada,Surfer's Beach,,37.492,-122.473,3/1/91,died in treatment,,3/27/91,Drowning,"domoic acid (suspect), pneumonia, roundworms"
Manny,California Sea Lion,Adult,Female,1,3/16/91,Sonoma,Jenner,Goat Rock State Beach,,38.4415,-123.1289,3/16/91,released,,4/28/91,,"pneumonia, domoic acid (suspect)"
Othello,California Sea Lion,Yearling,Male,1,8/15/91,San Mateo,Princeton-by-the-Sea,Pillar Point Harbor,,37.486,-122.49,8/16/91,died in treatment,,8/25/91,Leptospirosis,leptospirosis
Desdemona,California Sea Lion,Yearling,Male,1,8/16/91,San Mateo,Moss Beach,Fitzgerald Marine Reserve,,37.523,-122.522,8/16/91,died in treatment,,8/20/91,"Leptospirosis, Pneumonia","sharkbite, pneumonia, leptospirosis"
Sleeping Beauty,California Sea Lion,Adult,Female,1,9/15/91,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.121,-120.635,9/18/91,died in treatment,,9/18/91,domoic acid toxicity (chronic),bad location
Cinderella,California Sea Lion,Adult,Female,1,9/16/91,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5,35.067,-120.628,9/17/91,released,,11/17/91,,bad location
