Month,Monthly_mean,Monthly_n,Monthly_sd,Monthly_se,Monthly_min,Monthly_max,2018_counts
1,3.263157895,19,2.077447827,0.476599218,1,8,6
2,3.590909091,22,3.850282499,0.820882987,1,17,6
3,5.705882353,17,7.456244915,1.808405021,1,29,2
4,8.3125,16,10.7189474,2.67973685,1,39,2
5,11.66666667,21,17.88668033,3.903193646,1,72,0
6,9.304347826,23,12.1297335,2.529224273,1,47,29
7,21.69565217,23,26.76401041,5.580681947,1,86,14
8,16.72727273,22,15.22586089,3.246164449,1,64,10
9,11.47619048,21,18.36741421,4.008098378,1,85,
10,10.55,20,12.97152752,2.900521732,1,58,
11,4.7,20,3.52584443,0.788402782,1,14,
12,4.105263158,19,3.60392898,0.826798012,1,16,
