Month,Monthly_mean,Monthly_n,Monthly_sd,Monthly_se,Monthly_min,Monthly_max
01,3.6875,16,1.9906029237394383,0.49765073093485956,1,7
02,4.055555555555555,18,3.489011695936127,0.8223679432785375,1,15
03,5.733333333333333,15,7.9053929753832035,2.0411636892589495,1,29
04,7.647058823529412,17,9.803960784235294,2.377809756636204,1,36
05,10.5625,16,12.559027297791285,3.1397568244478213,1,42
06,10.05,20,11.306611945415414,2.5282352905160006,1,47
07,21.5,20,23.791860616163408,5.320021764894141,1,84
08,15.45,20,14.954228411002052,3.3438671278059253,2,63
09,11.88888888888889,18,18.698502264301933,4.4072792497066375,1,81
10,9.3,20,12.178929172528827,2.723291352292972,1,56
11,4.666666666666667,18,3.307744922237541,0.7796429549831783,1,13
12,3.9473684210526314,19,3.324549831021843,0.7627040392731281,1,14
