Database,Acc_number,Suffix,MMC_ID,Name,Restrand_Occurrence_num,Age_Class,Sex,Common_Name,Genus,Species,Strand_Date,Stranding_County,Stranding_City,Stranding_Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Admit_Weight_kg,Admit_Length_cm,Disposition_Date,Disposition,Dispo_Weight_kg,Dispo_Length_cm,CODeath_List,Diagnosis_List
Lloyd,1183,,CSL-1183,Sebastian,,Juvenile,Male,California Sea Lion,Zalophus,californianus,12/29/1990,San Mateo,Brisbane,Brisbane Marina,,37.4021,-122.2255,12/29/1990,40.5,122,02/10/1991,released,47.25,122,,pneumonia
Lloyd,1187,,CSL-1187,Jasper,,Yearling,Female,California Sea Lion,Zalophus,californianus,01/17/1991,Santa Cruz,Capitola,Pot Belly Beach,,36.9640,-121.9290,01/17/1991,37.25,132,04/30/1991,euthanasia,44,132,"Euthanasia, domoic acid (suspect)","domoic acid (suspect), pneumonia, lungworms"
Lloyd,1189,,CSL-1189,L.M.,,Subadult,Male,California Sea Lion,Zalophus,californianus,01/30/1991,Santa Cruz,Santa Cruz,Westcliff Drive & Almar,,36.9450,-122.0370,01/31/1991,93.5,168,03/31/1991,released,114.5,168,,Domic acid (suspect)
Lloyd,1190,,CSL-1190,Roxy,,Subadult,Male,California Sea Lion,Zalophus,californianus,02/02/1991,Santa Cruz,Santa Cruz,Seabright Beach,,36.9540,-122.0080,02/02/1991,125.5,152,08/10/1991,released,156,152,,"domoic acid (suspect), roundworms, pneumonia"
Lloyd,1197,,CSL-1197,Patriot,,Juvenile,Male,California Sea Lion,Zalophus,californianus,03/01/1991,San Mateo,El Granada,Surfer's Beach,,37.4920,-122.4730,03/01/1991,48.25,135,03/27/1991,died in treatment,49,135,Drowning,"domoic acid (suspect), pneumonia, roundworms"
Lloyd,1200,,CSL-1200,Manny,,Adult,Female,California Sea Lion,Zalophus,californianus,03/16/1991,Sonoma,Jenner,Goat Rock State Beach,,38.4415,-123.1289,03/16/1991,95,183,04/28/1991,released,114.5,183,,"pneumonia, domoic acid (suspect)"
Lloyd,1277,,CSL-1277,Desdemona,,Yearling,Male,California Sea Lion,Zalophus,californianus,08/16/1991,San Mateo,Moss Beach,Fitzgerald Marine Reserve,,37.5230,-122.5220,08/16/1991,35.4,138,08/20/1991,died in treatment,35.4,138,"Leptospirosis, Pneumonia","sharkbite, pneumonia, leptospirosis"
Lloyd,1278,,CSL-1278,Othello,,Yearling,Male,California Sea Lion,Zalophus,californianus,08/15/1991,San Mateo,Princeton-by-the-Sea,Pillar Point Harbor,,37.4860,-122.4900,08/16/1991,34.9,130,08/25/1991,died in treatment,39.9,130,Leptospirosis,leptospirosis
Lloyd,1335,,CSL-1335,Sleeping Beauty,,Adult,Female,California Sea Lion,Zalophus,californianus,09/15/1991,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,35.1210,-120.6350,09/18/1991,68.04,134,09/18/1991,died in treatment,68.04,134,domoic acid toxicity (chronic),bad location
Lloyd,1336,,CSL-1336,Snow White,,Adult,Female,California Sea Lion,Zalophus,californianus,09/17/1991,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2.5,35.0900,-120.6290,09/17/1991,90.7,,11/17/1991,released,89.8,,,bad location
Lloyd,1337,,CSL-1337,Cinderella,,Adult,Female,California Sea Lion,Zalophus,californianus,09/16/1991,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5,35.0670,-120.6280,09/17/1991,91.6,,11/17/1991,released,83.9,,,bad location
Lloyd,1403,,CSL-1403,Cowie,,Adult,Male,California Sea Lion,Zalophus,californianus,11/16/1991,Monterey,Seaside,Monterey State Beach (Seaside),,36.6220,-121.8520,11/16/1991,163.3,210,11/27/1991,died in treatment,163.3,210,Pneumonia,"blind, pneumonia"
Lloyd,1408,,CSL-1408,Tasha,,Adult,Female,California Sea Lion,Zalophus,californianus,11/24/1991,Santa Cruz,Davenport Landing,Davenport Landing Beach,,37.0230,-122.2230,11/24/1991,81.6,,01/26/1992,released,98.9,,,
Lloyd,1420,,CSL-1420,Crystal,,Adult,Female,California Sea Lion,Zalophus,californianus,01/04/1992,Santa Cruz,Santa Cruz,Main Beach,,36.9530,-122.0130,01/04/1992,84.3,0,03/03/1992,released,92.9,0,,
Lloyd,1432,,CSL-1432,Atoyot,,Juvenile,Male,California Sea Lion,Zalophus,californianus,03/13/1992,Monterey,Monterey,Fisherman's Wharf (Wharf 1),,36.6080,-121.8880,03/13/1992,35.3,0,04/29/1992,released,40.3,0,,
Lloyd,1438,,CSL-1438,Hobbes,,Adult,Female,California Sea Lion,Zalophus,californianus,03/28/1992,Monterey,Monterey,Coast Guard Jetty,,36.6080,-121.8880,03/28/1992,58.9,0,04/30/1992,euthanasia,42.1,150,"pneumonia,",
Lloyd,1462,,CSL-1462,Fed X,,Yearling,Male,California Sea Lion,Zalophus,californianus,05/05/1992,Monterey,Monterey,Coast Guard Jetty,,36.6080,-121.8880,05/05/1992,11.75,92,05/06/1992,died in treatment,11.75,92,Verminous pneumonia,
Lloyd,1472,,CSL-1472,Clueless,,Yearling,Male,California Sea Lion,Zalophus,californianus,05/10/1992,San Francisco,San Francisco,Ocean Beach at Sloat,,37.7340,-122.5140,05/10/1992,16.7,0,09/02/1992,released,34,114.3,,
Lloyd,1723,,CSL-1723,Daphne,,Adult,Female,California Sea Lion,Zalophus,californianus,07/10/1992,Marin,Sausalito,Golden Gate National Recreation Area,"Marin Headlands, Rodeo Beach",37.8296,-122.5409,07/10/1992,59.4,166,07/11/1992,DOA,59.4,166,"septicemia, pneumonia (verminous)",
Lloyd,1766,,CSL-1766,DOA,,Subadult,Male,California Sea Lion,Zalophus,californianus,08/11/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/11/1992,93.9,179,08/11/1992,DOA,93.9,179,interstitial pneumonia,bad location
Lloyd,1767,,CSL-1767,Jillian,,Adult,Female,California Sea Lion,Zalophus,californianus,08/11/1992,San Luis Obispo,Pismo Beach,,Shelter Cove ,35.0906,-120.3932,08/11/1992,68,157.48,08/14/1992,died in treatment,68,163,"seizures of unknown etiology, pneumonia, sepsis",
Lloyd,1769,,CSL-1769,Last Call,,Adult,Female,California Sea Lion,Zalophus,californianus,08/12/1992,San Luis Obispo,Pismo Beach,,Shelter Cove,35.0906,-120.3932,08/12/1992,85.3,177.8,08/17/1992,died in treatment,78,146,seizures of unknown etiology,
Lloyd,1773,,CSL-1773,China,,Adult,Female,California Sea Lion,Zalophus,californianus,08/14/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/14/1992,77.6,162.56,09/27/1992,released,83.9,0,,bad location
Lloyd,1774,,CSL-1774,Dakota,,Adult,Female,California Sea Lion,Zalophus,californianus,08/14/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/14/1992,76.2,149.86,09/27/1992,released,92.5,162.56,,bad location
Lloyd,1775,,CSL-1775,Jenifer,,Adult,Female,California Sea Lion,Zalophus,californianus,08/14/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Midramp - 2 blocks south of Grand Ave,35.1210,-120.6350,08/14/1992,87.1,167.64,09/19/1992,released,115.7,167.64,,"pending, bad location"
Lloyd,1776,,CSL-1776,Penelope,,Yearling,Female,California Sea Lion,Zalophus,californianus,08/14/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/14/1992,39.5,96.52,09/30/1992,died in treatment,31.3,109,"open, secondary pneumonia present",bad location
Lloyd,1777,,CSL-1777,Katherine,,Adult,Female,California Sea Lion,Zalophus,californianus,08/14/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,4 miles South of Grand Ave,,,08/14/1992,89.4,167.5,09/08/1992,died in treatment,55.8,149,"verminous pneumonia, seizures of unknown etiology",bad location
Lloyd,1778,,CSL-1778,Oephella,,Juvenile,Male,California Sea Lion,Zalophus,californianus,08/14/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/14/1992,53.1,142.24,09/19/1992,released,75.3,142.24,,bad location
Lloyd,1779,,CSL-1779,Col. Flagg,,Adult,Female,California Sea Lion,Zalophus,californianus,08/16/1992,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,"Post 2 to 3, closer to post 2",35.0900,-120.6290,08/16/1992,69.9,157.48,09/19/1992,released,81.7,157.48,,bad location
Lloyd,1780,,CSL-1780,Gilda,,Adult,Female,California Sea Lion,Zalophus,californianus,08/16/1992,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5,350.6700,-120.6280,08/16/1992,83,147.32,10/03/1992,released,74.8,172.72,,bad location
Lloyd,1781,,CSL-1781,Stevie,,Subadult,Female,California Sea Lion,Zalophus,californianus,08/16/1992,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,"Posts 2 to 3, closest to post 3",35.0800,-120.6290,08/16/1992,31.3,121.92,10/10/1992,released,32.7,122,,bad location
Lloyd,1782,,CSL-1782,DOA,,Adult,Female,California Sea Lion,Zalophus,californianus,08/16/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/16/1992,86.2,158,08/16/1992,carcass,86.2,158,open pending toxicological analysis,bad location
Lloyd,1790,,CSL-1790,St. Croix,,Adult,Female,California Sea Lion,Zalophus,californianus,08/17/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/17/1992,73,167.64,10/03/1992,released,78.9,167.64,,bad location
Lloyd,1791,,CSL-1791,Harriet,,Adult,Female,California Sea Lion,Zalophus,californianus,08/17/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,08/17/1992,77.6,157.48,08/24/1992,died in treatment,77.6,155,open pending toxicological analysis and histopathology,bad location
Lloyd,1792,,CSL-1792,Fossil Lady,,Adult,Female,California Sea Lion,Zalophus,californianus,08/20/1992,San Luis Obispo,Avila Beach,Port San Luis,,35.1029,-120.4517,08/20/1992,70.3,154.94,10/03/1992,released,83,152.4,,
Lloyd,1793,,CSL-1793,Lifesaver,,Yearling,Female,California Sea Lion,Zalophus,californianus,08/20/1992,San Luis Obispo,Pismo Beach,Pismo State Beach,,,,08/20/1992,35.4,0,09/26/1992,released,49,142.24,,
Lloyd,1794,,CSL-1794,Moon,,Yearling,Female,California Sea Lion,Zalophus,californianus,08/20/1992,San Luis Obispo,Morro Bay,Morro Strand State Beach,north end near rocky point,35.4310,-120.8930,08/20/1992,21.3,111.76,01/07/1993,euthanasia,29.9,120.7,"euthanasia, seizures(poss. mercury toxicosis)",
Lloyd,1795,,CSL-1795,Slough,,Juvenile,Male,California Sea Lion,Zalophus,californianus,08/20/1992,Marin,Mill Valley,,near pump house on Industrial Drive,,,08/20/1992,44,135.5,08/20/1992,DOA,43.1,135.5,bacterial pneumonia,
Lloyd,1796,,CSL-1796,Video,,Subadult,Female,California Sea Lion,Zalophus,californianus,08/21/1992,Santa Cruz,Santa Cruz,,Westcliff and Stockton,36.9480,-122.0210,08/21/1992,45.4,136,08/22/1992,died in treatment,45.4,136,"laceration, pneumonia",
Lloyd,1800,,CSL-1800,Danielle,,Adult,Female,California Sea Lion,Zalophus,californianus,08/24/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,1/4 mile south of Pier,35.1040,-120.6310,08/24/1992,62.6,149.86,09/19/1992,released,91.6,149.86,,bad location
Lloyd,1824,,CSL-1824,Rhett,,Subadult,Female,California Sea Lion,Zalophus,californianus,09/11/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,09/11/1992,50.3,134.62,11/01/1992,released,64.9,134.62,,bad location
Lloyd,1827,,CSL-1827,Party Girl,,Adult,Female,California Sea Lion,Zalophus,californianus,09/11/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,09/11/1992,79.8,172.72,11/01/1992,released,95.3,175,,bad location
Lloyd,1834,,CSL-1834,Homie,,Adult,Female,California Sea Lion,Zalophus,californianus,09/17/1992,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,09/17/1992,64.4,152,11/01/1992,released,87.5,157,,bad location
Lloyd,1860,,CSL-1860,Highgo,,Adult,Female,California Sea Lion,Zalophus,californianus,11/09/1992,Santa Cruz,Santa Cruz,Main Beach, walkway 4,36.9530,-122.0130,11/09/1992,68,172,11/12/1992,died in treatment,59.9,162,open-awaiting histology,
Lloyd,1870,,CSL-1870,Lightning,,Adult,Female,California Sea Lion,Zalophus,californianus,01/16/1993,Santa Cruz,Santa Cruz,,Westcliff and David,36.9480,-122.0210,01/16/1993,76.2,175,02/06/1993,released,76.2,175,,
Lloyd,1877,,CSL-1877,Fiesole (restrand),Restrand,Adult,Female,California Sea Lion,Zalophus,californianus,02/19/1993,San Luis Obispo,Pismo Beach,Spyglass Park,,35.1580,-120.6940,02/20/1993,66.7,173,03/20/1993,released,72.6,173,,
Lloyd,1950,,CSL-1950,Just Anything,,Subadult,Female,California Sea Lion,Zalophus,californianus,05/09/1993,San Luis Obispo,San Simeon,,3 miles north of Hearst State Park,,,05/09/1993,32.2,125,07/15/1993,released,43.5,137,,
Lloyd,1976,,CSL-1976,Thrasher,,Adult,Female,California Sea Lion,Zalophus,californianus,05/16/1993,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,,,,05/16/1993,81.6,175,05/23/1993,died in treatment,69.4,177,"parasitic cholangiohepatitis, bile duct obstruction, gastric foregn bodies, verminous pneumonia, emaciation",bad location
Lloyd,2067,,CSL-2067,Lucas,,Yearling,Female,California Sea Lion,Zalophus,californianus,06/05/1993,San Luis Obispo,Morro Bay,,Morro Bay jetty,35.2139,-120.5144,06/05/1993,9.5,87,06/06/1993,euthanasia,9.5,87,"pneumonia (verminous), malnutrition",
Lloyd,2111,,CSL-2111,Macaw,,Yearling,Female,California Sea Lion,Zalophus,californianus,06/20/1993,San Luis Obispo,Morro Bay,Morro Bay Harbor,near Virg's dock,35.3690,-120.8710,06/21/1993,26.8,86,06/22/1993,DOA,12.2,86,"malnutrition, possible renal disease",
Lloyd,2141,,CSL-2141,Maya,,Adult,Female,California Sea Lion,Zalophus,californianus,07/06/1993,Monterey,Moss Landing,Moss Landing Harbor,,36.8130,-121.7960,07/06/1993,69.4,144.5,07/06/1993,DOA,67.6,144.5,"renal disease, verminous pneumonia postpartem",
Lloyd,2143,,CSL-2143,Summerfield,,Adult,Female,California Sea Lion,Zalophus,californianus,07/06/1993,Santa Clara,Sunnyvale,,parking lot of Summerfield Suites Hotel,37.2400,-122.0143,07/06/1993,81.6,180,07/29/1993,died in treatment,57.6,157,Verminous pneumonia,
Lloyd,2145,,CSL-2145,Moaner,,Subadult,Male,California Sea Lion,Zalophus,californianus,07/09/1993,San Luis Obispo,Morro Bay,Atascadero Beach,,,,07/09/1993,80.7,160,08/29/1993,released,94.3,183,,
